res_id,name,address,mobile_url,cuisines,review_count,rating
texas-roadhouse-champaign,Texas Roadhouse,"204 N. Country Fair Drive,Champaign, IL 61821",http://m.yelp.com/biz/texas-roadhouse-champaign,"[Steakhouses,steak,Barbeque,bbq,American (Traditional),tradamerican]",39,4
masijta-grill-urbana,Masijta Grill,"202 N Race,Ste A,Urbana, IL 61801",http://m.yelp.com/biz/masijta-grill-urbana,"[Korean,korean]",15,4
the-bread-company-urbana,The Bread Company,"706 S Goodwin Ave,Urbana, IL 61801",http://m.yelp.com/biz/the-bread-company-urbana,"[Bakeries,bakeries,American (New),newamerican,Sandwiches,sandwiches]",70,3.5
niros-gyros-urbana,Niro's Gyros,"1007 W University Ave,Urbana, IL 61801",http://m.yelp.com/biz/niros-gyros-urbana,"[Greek,greek]",25,4
bunnys-tavern-urbana,Bunny's Tavern,"119 W Water St,Urbana, IL 61801",http://m.yelp.com/biz/bunnys-tavern-urbana,"[Dive Bars,divebars,American (Traditional),tradamerican]",22,4
papa-dels-pizza-champaign,Papa Del's Pizza,"206 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/papa-dels-pizza-champaign,"[Pizza,pizza]",203,4
first-wok-urbana,First Wok,"1805 Philo Rd,Urbana, IL 61802",http://m.yelp.com/biz/first-wok-urbana,"[Chinese,chinese]",22,4
wedge-tequila-bar-and-grill-champaign,Wedge Tequila Bar & Grill,"415 N Neil St,Champaign, IL 61820",http://m.yelp.com/biz/wedge-tequila-bar-and-grill-champaign,"[Bars,bars,Mexican,mexican]",59,3.5
pekara-bakery-and-bistro-champaign,Pekara Bakery and Bistro,"116 N Neil St,Champaign, IL 61821",http://m.yelp.com/biz/pekara-bakery-and-bistro-champaign,"[Creperies,creperies,Sandwiches,sandwiches,Gelato,gelato]",83,3.5
smokys-house-bbq-savoy,Smoky's House BBQ,"1333 Savoy Plaza Ln,Ste 8,Savoy, IL 61874",http://m.yelp.com/biz/smokys-house-bbq-savoy,"[Barbeque,bbq]",26,3.5
a-ri-rang-champaign,A-Ri-Rang,"607 S Wright St,Champaign, IL 61820",http://m.yelp.com/biz/a-ri-rang-champaign,"[Korean,korean]",39,3.5
b-won-champaign,B Won,"2006 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/b-won-champaign,"[Korean,korean]",55,3.5
sun-singer-wine-and-spirits-ltd-champaign,Sun Singer Wine and Spirits Ltd.,"1115 W Windsor Rd,Champaign, IL 61821",http://m.yelp.com/biz/sun-singer-wine-and-spirits-ltd-champaign,"[Beer, Wine & Spirits,beer_and_wine,Cheese Shops,cheese,Sandwiches,sandwiches,Delis,delis]",54,4
best-wok-champaign,Best Wok,"907 W Marketview Dr,Ste 8,Champaign, IL 61822",http://m.yelp.com/biz/best-wok-champaign,"[Chinese,chinese]",8,4
merry-anns-diner-urbana-2,Merry Ann's Diner,"1103 W Oregon St,Urbana, IL 61801",http://m.yelp.com/biz/merry-anns-diner-urbana-2,"[Diners,diners]",23,4
j-gumbos-urbana,J Gumbo's,"700 S Gregory St,Suite D,Urbana, IL 61801",http://m.yelp.com/biz/j-gumbos-urbana,"[Cajun/Creole,cajun]",13,4
timpones-urbana,Timpone's,"710 S Goodwin Ave,Urbana, IL 61801",http://m.yelp.com/biz/timpones-urbana,"[Italian,italian]",49,3.5
layalina-mediterranean-grill-champaign-2,Layalina Mediterranean Grill,"401 S 1st St,Champaign, IL 61820",http://m.yelp.com/biz/layalina-mediterranean-grill-champaign-2,"[Middle Eastern,mideastern,Mediterranean,mediterranean]",33,3.5
seaboat-champaign-2,Seaboat,"403 W Kirby Ave,Champaign, IL 61820",http://m.yelp.com/biz/seaboat-champaign-2,"[Southern,southern,Soul Food,soulfood]",35,3.5
mandarin-wok-champaign,Mandarin Wok,"403 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/mandarin-wok-champaign,"[Chinese,chinese]",40,3.5
pizza-m-urbana,Pizza M,"208 W Main St,Urbana, IL 61801",http://m.yelp.com/biz/pizza-m-urbana,"[Pizza,pizza]",21,3.5
le-peep-restaurant-champaign,Le Peep Restaurant,"2209 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/le-peep-restaurant-champaign,"[Breakfast & Brunch,breakfast_brunch]",51,3.5
murphys-pub-champaign,Murphy's Pub,"604 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/murphys-pub-champaign,"[Pubs,pubs,American (New),newamerican]",83,4
casablanca-kabab-house-champaign,Casablanca Kabab House,"623 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/casablanca-kabab-house-champaign,"[Middle Eastern,mideastern,Indian,indpak]",37,3.5
bombay-indian-grill-champaign,Bombay Indian Grill,"401 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/bombay-indian-grill-champaign,"[Indian,indpak]",59,4
milos-restaurant-urbana-2,Milo's Restaurant,"2870 S Philo Rd,Urbana, IL 61802",http://m.yelp.com/biz/milos-restaurant-urbana-2,"[American (New),newamerican]",53,3.5
dublin-o-neils-champaign,Dublin O'Neil's,"301 N Neil St,Champaign, IL 61820",http://m.yelp.com/biz/dublin-o-neils-champaign,"[Irish,irish]",64,3.5
home-of-gourmet-chinese-and-thai-restaurant-champaign,Home of Gourmet Chinese & Thai Restaurant,"604 E Daniel St,Champaign, IL 61820",http://m.yelp.com/biz/home-of-gourmet-chinese-and-thai-restaurant-champaign,"[Chinese,chinese]",28,3.5
fat-sandwich-company-champaign,Fat Sandwich Company,"502 E John St,Champaign, IL 61820",http://m.yelp.com/biz/fat-sandwich-company-champaign,"[Sandwiches,sandwiches]",47,3.5
urbana-garden-family-restaurant-urbana,Urbana Garden Family Restaurant,"810 W Killarney St,Urbana, IL 61801",http://m.yelp.com/biz/urbana-garden-family-restaurant-urbana,"[Restaurants,restaurants]",21,3
cracker-barrel-old-country-store-urbana,Cracker Barrel Old Country Store,"2101 N Kenyon Rd,Urbana, IL 61802",http://m.yelp.com/biz/cracker-barrel-old-country-store-urbana,"[Breakfast & Brunch,breakfast_brunch]",20,3.5
jupiters-pizzeria-and-billiards-champaign,Jupiter's Pizzeria & Billiards,"39 E Main St,Champaign, IL 61820",http://m.yelp.com/biz/jupiters-pizzeria-and-billiards-champaign,"[Pool Halls,poolhalls,Pizza,pizza,Lounges,lounges]",63,4
rainbow-garden-champaign,Rainbow Garden,"1402 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/rainbow-garden-champaign,"[Chinese,chinese]",42,3.5
firehaus-champaign,Firehaus,"708 S 6th St,Champaign, IL 61820",http://m.yelp.com/biz/firehaus-champaign,"[American (Traditional),tradamerican,Burgers,burgers,Bars,bars]",44,3.5
chopstix-champaign-2,Chopstix,"202 E Green St,Ste 1,Champaign, IL 61820",http://m.yelp.com/biz/chopstix-champaign-2,"[Chinese,chinese]",41,3
