distance,walk_time
182,242.54286477
183,243.45411144
184,244.36535815
185,333.0
186,308.0
187,247.0990982
188,248.01034487
189,248.92159156
190,249.83283824
191,250.74408492
192,251.65533162
193,181.0
194,253.47782499
195,254.38907166
196,255.30031834
197,173.0
198,344.0
199,258.03405842
200,258.94530509
201,202.0
202,260.76779844
203,161.0
204,159.0
205,213.0
206,213.0
207,179.0
208,229.0
209,251.0
210,268.05777194
211,177.0
212,247.0
213,216.0
214,271.70275866
215,272.61400536
216,728.0
217,258.0
218,250.0
219,276.25899209
220,313.0
221,229.0
222,278.99273214
223,279.90397882
224,161.0
225,281.72647222
226,211.0
227,283.54896556
228,284.46021224
229,285.37145894
230,249.0
231,308.0
232,288.10519898
233,289.01644566
234,166.0
235,290.83893903
236,262.0
237,202.0
238,205.0
239,277.0
240,275.0
241,289.0
242,177.0
243,682.0
244,319.0
245,299.95140589
246,227.0
247,301.77389926
248,238.0
249,303.59639261
250,308.0
251,305.41888598
252,272.0
253,189.0
254,259.0
255,258.0
256,309.97511941
257,310.88636611
258,311.79761278
259,288.0
260,313.62010614
261,206.0
262,351.0
263,255.0
264,317.26509289
265,812.0
266,319.08758626
267,319.99883293
268,210.0
269,321.82132631
270,322.73257298
271,232.0
272,1742.0
273,272.0
274,326.37755973
275,187.0
276,331.0
277,329.11129978
278,246.0
279,330.93379316
280,283.0
281,332.75628651
282,308.0
283,334.57877988
284,335.49002658
285,336.40127326
286,711.0
287,251.0
288,339.1350133
289,384.0
290,410.0
291,341.86875335
292,342.78000004
293,343.69124672
294,344.60249344
295,257.0
296,343.0
297,246.0
298,296.0
299,460.0
300,628.0
301,350.98122021
302,327.0
303,359.0
304,246.0
305,317.0
306,328.0
307,330.0
308,357.35994697
309,358.27119367
310,359.18244038
311,278.0
312,292.0
313,361.91618041
314,462.0
315,330.0
316,364.64992047
317,666.0
318,310.0
319,367.38366053
320,368.29490723
321,462.0
322,864.0
323,235.0
324,371.93989395
325,325.0
326,288.0
327,282.0
328,375.58488067
329,1420.0
330,238.0
331,367.0
332,387.0
333,995.0
334,381.05236078
335,304.0
336,350.0
337,312.0
338,239.0
339,440.0
340,254.0
341,387.43108757
342,453.0
343,389.25358095
344,390.16482762
345,391.07607429
346,234.0
347,749.0
348,393.80981437
349,324.0
350,474.0
351,370.0
352,397.45480112
353,394.0
354,507.0
355,451.0
356,493.0
